
===== clang++-22  group 10  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
5MyInt                 copy(1+2S)                      0.061     0.056    -8.2%     0.056    -8.2%     0.059    -3.3%
5MyInt                 copy(1S)                        0.053     0.050    -5.7%     0.051    -3.8%     0.049    -7.5%
5MyInt                 copy(2S)                        0.049     0.048    -2.0%     0.048    -2.0%     0.053    +8.2%
5MyInt                 copy_n(1+2S)                    0.057     0.056    -1.8%     0.056    -1.8%     0.057    +0.0%
5MyInt                 copy_n(1S)                      0.053     0.050    -5.7%     0.051    -3.8%     0.052    -1.9%
5MyInt                 copy_n(2S)                      0.050     0.049    -2.0%     0.049    -2.0%     0.054    +8.0%
5MyInt                 swap_ranges(1+2S)               0.105     0.105    +0.0%     0.105    +0.0%     0.107    +1.9%
5MyInt                 swap_ranges(1S)                 0.087     0.087    +0.0%     0.087    +0.0%     0.087    +0.0%
5MyInt                 swap_ranges(2S)                 0.086     0.086    +0.0%     0.086    +0.0%     0.086    +0.0%
5MyInt                 transform(1+2S)                 0.060     0.058    -3.3%     0.058    -3.3%     0.058    -3.3%
5MyInt                 transform(1S)                   0.051     0.050    -2.0%     0.051    +0.0%     0.052    +2.0%
5MyInt                 transform(2S)                   0.052     0.052    +0.0%     0.052    +0.0%     0.052    +0.0%
8MyFatIntILm4EE        copy(1+2S)                      0.532     0.530    -0.4%     0.540    +1.5%     0.531    -0.2%
8MyFatIntILm4EE        copy(1S)                        0.547     0.525    -4.0%     0.531    -2.9%     0.546    -0.2%
8MyFatIntILm4EE        copy(2S)                        0.522     0.522    +0.0%     0.521    -0.2%     0.521    -0.2%
8MyFatIntILm4EE        copy_n(1+2S)                    0.532     0.530    -0.4%     0.538    +1.1%     0.531    -0.2%
8MyFatIntILm4EE        copy_n(1S)                      0.524     0.524    +0.0%     0.532    +1.5%     0.524    +0.0%
8MyFatIntILm4EE        copy_n(2S)                      0.522     0.522    +0.0%     0.521    -0.2%     0.521    -0.2%
8MyFatIntILm4EE        swap_ranges(1+2S)               0.680     0.676    -0.6%     0.684    +0.6%     0.678    -0.3%
8MyFatIntILm4EE        swap_ranges(1S)                 0.675     0.675    +0.0%     0.674    -0.1%     0.674    -0.1%
8MyFatIntILm4EE        swap_ranges(2S)                 0.672     0.674    +0.3%     0.677    +0.7%     0.672    +0.0%
8MyFatIntILm4EE        transform(1+2S)                 0.287     0.286    -0.3%     0.286    -0.3%     0.287    +0.0%
8MyFatIntILm4EE        transform(1S)                   0.286     0.285    -0.3%     0.285    -0.3%     0.286    +0.0%
8MyFatIntILm4EE        transform(2S)                   0.284     0.285    +0.4%     0.284    +0.0%     0.286    +0.7%
8MyFatIntILm8EE        copy(1+2S)                      1.084     1.074    -0.9%     1.081    -0.3%     1.081    -0.3%
8MyFatIntILm8EE        copy(1S)                        1.086     1.080    -0.6%     1.064    -2.0%     1.087    +0.1%
8MyFatIntILm8EE        copy(2S)                        1.089     1.088    -0.1%     1.089    +0.0%     1.090    +0.1%
8MyFatIntILm8EE        copy_n(1+2S)                    1.085     1.075    -0.9%     1.082    -0.3%     1.082    -0.3%
8MyFatIntILm8EE        copy_n(1S)                      1.108     1.098    -0.9%     1.105    -0.3%     1.106    -0.2%
8MyFatIntILm8EE        copy_n(2S)                      1.067     1.065    -0.2%     1.064    -0.3%     1.069    +0.2%
8MyFatIntILm8EE        swap_ranges(1+2S)               1.388     1.383    -0.4%     1.390    +0.1%     1.387    -0.1%
8MyFatIntILm8EE        swap_ranges(1S)                 1.365     1.389    +1.8%     1.391    +1.9%     1.392    +2.0%
8MyFatIntILm8EE        swap_ranges(2S)                 1.401     1.394    -0.5%     1.399    -0.1%     1.401    +0.0%
8MyFatIntILm8EE        transform(1+2S)                 0.609     0.608    -0.2%     0.600    -1.5%     0.609    +0.0%
8MyFatIntILm8EE        transform(1S)                   0.607     0.605    -0.3%     0.604    -0.5%     0.604    -0.5%
8MyFatIntILm8EE        transform(2S)                   0.583     0.584    +0.2%     0.589    +1.0%     0.608    +4.3%

===== g++-16  group 10  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
5MyInt                 all_of(hit)                     0.098     0.098    +0.0%     0.098    +0.0%     0.098    +0.0%
5MyInt                 all_of(miss)                    0.058     0.058    +0.0%     0.058    +0.0%     0.058    +0.0%
5MyInt                 any_of(hit)                     0.058     0.058    +0.0%     0.058    +0.0%     0.058    +0.0%
5MyInt                 any_of(miss)                    0.098     0.098    +0.0%     0.098    +0.0%     0.098    +0.0%
5MyInt                 count(hit)                      0.115     0.243  +111.3%     0.204   +77.4%     0.115    +0.0%
5MyInt                 count(miss)                     0.115     0.243  +111.3%     0.204   +77.4%     0.115    +0.0%
5MyInt                 count_if(hit)                   0.116     0.116    +0.0%     0.116    +0.0%     0.116    +0.0%
5MyInt                 count_if(miss)                  0.116     0.116    +0.0%     0.116    +0.0%     0.116    +0.0%
5MyInt                 fill                            0.128     0.129    +0.8%     0.128    +0.0%     0.127    -0.8%
5MyInt                 fill_n                          0.128     0.128    +0.0%     0.127    -0.8%     0.128    +0.0%
5MyInt                 find(hit)                       0.060     0.061    +1.7%     0.062    +3.3%     0.061    +1.7%
5MyInt                 find(miss)                      0.120     0.122    +1.7%     0.123    +2.5%     0.121    +0.8%
5MyInt                 find_if(hit)                    0.060     0.060    +0.0%     0.060    +0.0%     0.060    +0.0%
5MyInt                 find_if(miss)                   0.122     0.122    +0.0%     0.122    +0.0%     0.122    +0.0%
